[U1, U2, U3] 
[ -1.54279247e-38   5.55810462e-39   7.94655246e-35]
[ -1.52481382e-38   1.42258489e-38  -7.93186682e-35]
[ -1.40317604e-06  -7.34161556e-01   2.25896612e-01]
[  6.33882848e-07  -7.34161437e-01  -2.25895137e-01]
[ -2.48989750e-06  -2.93657708e+00   4.51771766e-01]
[  1.67754933e-06  -2.93657732e+00  -4.51769173e-01]
[ -3.44934915e-06  -6.60704041e+00   6.77604675e-01]
[  2.53582493e-06  -6.60703993e+00  -6.77600861e-01]
[ -4.33624336e-06  -1.17452345e+01   9.03382540e-01]
[  3.51407380e-06  -1.17452345e+01  -9.03377414e-01]
[ -5.19854348e-06  -1.83507404e+01   1.12908649e+00]
[  4.32457909e-06  -1.83507404e+01  -1.12908006e+00]
[ -5.98710812e-06  -2.64230289e+01   1.35470188e+00]
[  5.20365074e-06  -2.64230289e+01  -1.35469413e+00]
[ -6.78854076e-06  -3.59614677e+01   1.58021080e+00]
[  5.95136771e-06  -3.59614677e+01  -1.58020175e+00]
[ -7.50941854e-06  -4.69653130e+01   1.80559754e+00]
[  6.74904277e-06  -4.69653130e+01  -1.80558717e+00]
[ -8.25469670e-06  -5.94337158e+01   2.03084469e+00]
[  7.45112493e-06  -5.94337158e+01  -2.03083277e+00]
[ -8.92452590e-06  -7.33657074e+01   2.25593543e+00]
[  8.18671469e-06  -7.33657074e+01  -2.25592232e+00]
[ -9.62349077e-06  -8.87602234e+01   2.48085213e+00]
[  8.85387271e-06  -8.87602234e+01  -2.48083782e+00]
[ -1.02550939e-05  -1.05616074e+02   2.70557785e+00]
[  9.54241750e-06  -1.05616074e+02  -2.70556211e+00]
[ -1.09182020e-05  -1.23931953e+02   2.93009424e+00]
[  1.01831638e-05  -1.23931953e+02  -2.93007731e+00]
[ -1.15218845e-05  -1.43706451e+02   3.15438390e+00]
[  1.08367694e-05  -1.43706451e+02  -3.15436554e+00]
[ -1.21584844e-05  -1.64938034e+02   3.37842822e+00]
[  1.14588411e-05  -1.64938034e+02  -3.37840843e+00]
[ -1.27426138e-05  -1.87625031e+02   3.60220838e+00]
[  1.20873665e-05  -1.87625031e+02  -3.60218740e+00]
[ -1.33608901e-05  -2.11765686e+02   3.82570553e+00]
[  1.26977166e-05  -2.11765686e+02  -3.82568312e+00]
[ -1.39323938e-05  -2.37358078e+02   4.04890013e+00]
[  1.33093245e-05  -2.37358078e+02  -4.04887629e+00]
[ -1.45394470e-05  -2.64400177e+02   4.27177286e+00]
[  1.39140557e-05  -2.64400177e+02  -4.27174759e+00]
[ -1.51040922e-05  -2.92889862e+02   4.49430275e+00]
[  1.45155345e-05  -2.92889862e+02  -4.49427652e+00]
[ -1.57060458e-05  -3.22824768e+02   4.71646976e+00]
[  1.51199747e-05  -3.22824768e+02  -4.71644211e+00]
[ -1.62685901e-05  -3.54202515e+02   4.93825245e+00]
[  1.57169343e-05  -3.54202515e+02  -4.93822336e+00]
[ -1.68707829e-05  -3.87020538e+02   5.15962934e+00]
[  1.63257937e-05  -3.87020538e+02  -5.15959835e+00]
[ -1.74349789e-05  -4.21276123e+02   5.38057756e+00]
[  1.69227023e-05  -4.21276123e+02  -5.38054562e+00]
[ -1.80418047e-05  -4.56966370e+02   5.60107517e+00]
[  1.75398582e-05  -4.56966370e+02  -5.60104179e+00]
[ -1.86106827e-05  -4.94088348e+02   5.82109833e+00]
[  1.81403502e-05  -4.94088348e+02  -5.82106400e+00]
[ -1.92256521e-05  -5.32638794e+02   6.04062319e+00]
[  1.87689238e-05  -5.32638794e+02  -6.04058743e+00]
[ -1.98013840e-05  -5.72614502e+02   6.25962496e+00]
[  1.93756659e-05  -5.72614502e+02  -6.25958776e+00]
[ -2.04274675e-05  -6.14011902e+02   6.47807837e+00]
[  2.00183385e-05  -6.14011902e+02  -6.47803926e+00]
[ -2.10114304e-05  -6.56827393e+02   6.69595718e+00]
[  2.06331588e-05  -6.56827393e+02  -6.69591665e+00]
[ -2.16505669e-05  -7.01057129e+02   6.91323423e+00]
[  2.12916293e-05  -7.01057129e+02  -6.91319275e+00]
[ -2.22432282e-05  -7.46697144e+02   7.12988234e+00]
[  2.19153590e-05  -7.46697144e+02  -7.12983894e+00]
[ -2.28966965e-05  -7.93743225e+02   7.34587240e+00]
[  2.25907752e-05  -7.93743225e+02  -7.34582806e+00]
[ -2.34972704e-05  -8.42190979e+02   7.56117582e+00]
[  2.32229631e-05  -8.42190979e+02  -7.56112957e+00]
[ -2.41655252e-05  -8.92035828e+02   7.77576160e+00]
[  2.39156489e-05  -8.92035828e+02  -7.77571392e+00]
[ -2.47730331e-05  -9.43273132e+02   7.98959827e+00]
[  2.45556039e-05  -9.43273132e+02  -7.98954964e+00]
[ -2.54558709e-05  -9.95897766e+02   8.20265484e+00]
[  2.52653153e-05  -9.95897766e+02  -8.20260429e+00]
